notaword | No sentence found.
que | cómo iban a poder con más de lo que se habían enfrentado hasta el momento
hasta | cómo iban a poder con más de lo que se habían enfrentado hasta el momento
a | cómo iban a poder con más de lo que se habían enfrentado hasta el momento
de | cómo iban a poder con más de lo que se habían enfrentado hasta el momento
cómo | cómo iban a poder con más de lo que se habían enfrentado hasta el momento
con | cómo iban a poder con más de lo que se habían enfrentado hasta el momento
el | cómo iban a poder con más de lo que se habían enfrentado hasta el momento
ir | cómo iban a poder con más de lo que se habían enfrentado hasta el momento
poder | cómo iban a poder con más de lo que se habían enfrentado hasta el momento
enfrentar | cómo iban a poder con más de lo que se habían enfrentado hasta el momento
momento | cómo iban a poder con más de lo que se habían enfrentado hasta el momento
haber | cómo iban a poder con más de lo que se habían enfrentado hasta el momento
se | cómo iban a poder con más de lo que se habían enfrentado hasta el momento
la | cómo iban a poder con más de lo que se habían enfrentado hasta el momento
más | cómo iban a poder con más de lo que se habían enfrentado hasta el momento
no | No puede haber más.
ser | —No, no lo es.
decir | —Dile que se vaya.
y | —Y que lo diga.
le | —Se ha ido —le dijo a Ereko.
estar | —Y Tayschrenn no está.
por | Por el gran Fanderay
todo | Vais todos a los korelri.
hacer | había hecho todo lo que había podido
él | Cómo se habían hecho con ella
qué | Qué hay de ellos
ella | qué iba a poder hacer él
ese | Él no es de esos.
en | por qué en ese momento y con él
hombre | Cómo se atrevía ese hombre
un | No era más que un hombre.
mirar | El hombre los fue mirando a todos.
saber | No sabes lo que puedes hacer, hasta que lo haces.
ése | —No sé por qué sabía que ibas a decir eso.
pero | —Pero Anand no lo sabe.
tener | Pero era todo lo que tenían.
pasar | —¿Qué está pasando? Tengo que saberlo.
asir | Así que, cómo no, había sido ella la que había tenido que ir.
preguntar | Y me preguntó qué podría ser eso.
cabeza | —¿Qué le ha pasado en la cabeza? —le preguntó Havva.
levantar | Levantó la cabeza y miró a Shurll.
parar | —Se levantó para irse.
comer | Timmel se levantó como pudo.
noche | ¿De qué va? —le preguntó a Noche.
si | —¿Puede? Me pregunto si es así…
este | Tenemos que saberlo esta noche.
su | Su, esta es Devaleth.
hablar | Pero fue como si Olo no hubiera hablado.
yo | —Yo estaba hablando de ellos.
algo | Qué me ha pasado para poder hacer algo así
ya | —Ya hemos hablado de eso.
te | Pero te diré algo.
nadar | —Ya te lo he dicho, nada.
otro | Seres que tienen más poder que otros, nada más.
quedar | En unos momentos no quedaba nada.
arrojar | Arrojo se quedó mirando al hombre.
solo | —Solo sabía que iba a pasar algo, Arrojo.
dejar | Sabían que no podía dejar que se enfrentaran solos a él.
entrar | pero deja entrar a mis hombres
do | Los dos que habían entrado con él se levantaron.
ver | Vio a dos hombres que se enfrentaban a Despellejador.
guardia | Ya solo quedamos los guardias.
deber | Está pasando algo que deberías ver.
bueno | —Bueno, si así es como debe ser.
parecer | Pareció pararse, así, por las buenas.
vez | No vamos a ver nada parecido otra vez.
mago | El mago de Jacuruku lo miró a su vez.
mucho | Pero la Guardia tenía que saber que Laseen no tenía muchos magos.
aquí | Y muchos de estos de aquí son de la Guardia.
una | Pero aquí estamos una vez más.
bajar | Jemain había bajado la cabeza una vez más.
después | Después bajó la mirada.
esperar | Espera hasta que hayan entrado y después hazlo.
ahora | Y ahora aquí están, ahora ya no tenemos que esperar más.
tiempo | Voy a hacer ahora lo que debería haberse hecho hace algún tiempo.
llevar | Y ya llevaba un tiempo esperando.
suponer | —Llevo mucho tiempo fuera, por supuesto.
oír | Oí hablar mucho de ellos en Darujhistan, por supuesto.
sí | Los dos se miraron entre sí.
sobrar | —Mucho más que eso —dijo, sobre todo para sí.
nos | —Yo digo que nos vayamos.
nuestro | —Lo haremos, una vez que nos hayamos llevado lo que es nuestro.
llegar | Bueno, supongo que a todos nos llega.
quizá | Quizá haya llegado el momento.
